"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","1","3","2","","","","","","",""
"2","1","4","2","","","","","","",""
"3","1","3","1","","","","","","",""
"4","1","4","2","","","","","","",""
"5","1","3","2","","","","","","",""
"6","1","3","2","","","","","","",""
"7","1","3","2","","","","","","",""
"8","1","2","1","","","","","","",""
"9","1","3","1","","","","","","",""
"10","1","4","3","","","","","","",""
"11","1","2","1","","","","","","",""
"12","1","3","1","","","","","","",""
"13","1","3","1","","","","","","",""
"14","1","2","1","","","","","","",""
"15","1","2","1","","","","","","",""
"1","2","5","3","","","","","","",""
"2","2","4","2","","","","","","",""
"3","2","4","2","","","","","","",""
"4","2","4","2","","","","","","",""
"5","2","4","3","","","","","","",""
"6","2","3","2","","","","","","",""
"7","2","3","1","","","","","","",""
"8","2","3","2","","","","","","",""
"9","2","3","2","","","","","","",""
"10","2","2","1","","","","","","",""
"12","2","2","1","","","","","","",""
"13","2","3","1","","","","","","",""
"14","2","2","1","","","","","","",""
"15","2","1","0","","","","","","",""
"1","3","3","2","","","","","","",""
"2","3","4","2","","","","","","",""
"3","3","3","1","","","","","","",""
"4","3","3","1","","","","","","",""
"5","3","4","2","","","","","","",""
"6","3","4","2","","","","","","",""
"7","3","3","1","","","","","","",""
"8","3","3","2","","","","","","",""
"9","3","3","1","","","","","","",""
"10","3","2","1","","","","","","",""
"11","3","4","2","","","","","","",""
"12","3","2","1","","","","","","",""
"13","3","3","1","","","","","","",""
"14","3","4","3","","","","","","",""
"15","3","3","2","","","","","","",""
"1","4","3","2","","","","","","",""
"2","4","3","2","","","","","","",""
"3","4","3","1","","","","","","",""
"4","4","2","1","","","","","","",""
"5","4","2","1","","","","","","",""
"6","4","3","2","","","","","","",""
"7","4","2","1","","","","","","",""
"8","4","2","1","","","","","","",""
"9","4","3","2","","","","","","",""
"10","4","4","2","","","","","","",""
"11","4","2","1","","","","","","",""
"12","4","5","3","","","","","","",""
"13","4","3","2","","","","","","",""
"14","4","4","2","","","","","","",""
"15","4","3","1","","","","","","",""
"1","5","2","1","","","","","","",""
"2","5","3","2","","","","","","",""
"3","5","2","1","","","","","","",""
"4","5","4","2","","","","","","",""
"5","5","5","3","","","","","","",""
"6","5","2","1","","","","","","",""
"7","5","3","1","","","","","","",""
"8","5","3","2","","","","","","",""
"9","5","4","2","","","","","","",""
"10","5","3","1","","","","","","",""
"11","5","4","2","","","","","","",""
"12","5","3","2","","","","","","",""
"13","5","3","1","","","","","","",""
"14","5","3","1","","","","","","",""
"15","5","3","1","","","","","","",""
"1","6","4","2","","1","","","1","",""
"2","6","9","3","","1","","","1","",""
"3","6","3","1","","","","","","",""
"4","6","8","1","","","","","","",""
"5","6","5","0","","","","","","",""
"6","6","8","3","","","","","","",""
"7","6","4","2","","","","","","",""
"8","6","8","0","","","","","","1",""
"9","6","9","2","","","","","","",""
"10","6","4","2","","","","","","",""
"11","6","9","2","","","","","","",""
"12","6","4","2","","","","","","",""
"13","6","9","2","","","","","","",""
"14","6","8","2","","","","","","",""
"15","6","6","2","","","","","","",""
"1","7","5","1","","","","","","",""
"2","7","5","2","","","","","1","",""
"3","7","4","1","","","","","","","1"
"4","7","6","1","","","","","","",""
"5","7","11","2","","","","","","",""
"6","7","8","4","","","","","1","",""
"7","7","3","1","","","","","","",""
"8","7","5","3","","","","","","",""
"9","7","10","2","","","","","","",""
"10","7","8","1","","","","","","",""
"11","7","7","2","","","","","","",""
"12","7","5","3","","","1","","1","",""
"13","7","8","3","1","","","","1","",""
"14","7","8","1","","","","","","",""
"1","8","4","2","","","","","","",""
"2","8","3","2","","","","","","",""
"3","8","2","1","","","","","","",""
"4","8","3","2","","","","","","",""
"5","8","3","2","","","","","","",""
"6","8","2","1","","","","","","",""
"7","8","3","2","","","","","","",""
"8","8","3","2","","","","","","",""
"9","8","3","2","","","","","","",""
"10","8","2","1","","","","","","",""
"11","8","3","2","","","","","","",""
"12","8","3","1","","","","","","",""
"13","8","3","1","","","","","","",""
"14","8","1","0","","","","","","",""
"15","8","7","2","","","","","","",""
"1","9","3","2","","","","","","",""
"2","9","5","3","","","","","","",""
"3","9","3","2","","","","","","",""
"4","9","4","2","","","","","","",""
"5","9","3","1","","","","","","",""
"6","9","3","2","","","","","","",""
"7","9","2","1","","","","","","",""
"8","9","2","1","","","","","","",""
"9","9","3","1","","","","","","",""
"10","9","3","1","","","","","","",""
"11","9","2","1","","","","","","",""
"12","9","3","2","","","","","","",""
"13","9","3","1","","","","","","",""
"14","9","2","1","","","","","","",""
"15","9","2","1","","","","","","",""
"1","10","5","3","","","","","","",""
"2","10","5","2","","","","","","",""
"3","10","4","1","","","","","","",""
"4","10","3","1","","","","","","",""
"5","10","4","2","","","","","","",""
"6","10","3","1","","","","","","",""
"7","10","4","1","","","","","","",""
"8","10","5","2","","","","","","",""
"9","10","4","2","","","","","","",""
"10","10","4","1","","","","","","",""
"11","10","4","2","","","","","","",""
"12","10","5","1","","","","","","",""
"13","10","5","1","","","","","","",""
"14","10","6","2","","","","","","",""
"15","10","3","1","","","","","","",""
"1","11","3","1","","","","","","",""
"2","11","4","2","","","","","","",""
"3","11","8","2","","","","","1","",""
"4","11","4","2","","","","","","",""
"5","11","3","1","","","","","","",""
"6","11","6","2","","","","","","",""
"7","11","5","2","","","","","","",""
"8","11","5","2","","","","","","",""
"9","11","6","1","","","","","","",""
"10","11","8","3","","","","","1","",""
"11","11","3","1","","","","","","",""
"12","11","4","2","","","","","","",""
"13","11","4","1","1","","","","","",""
"14","11","3","1","","","","","","",""
"15","11","4","1","","","","","","",""
"1","12","3","1","","","","","","",""
"2","12","6","2","","","","","","",""
"3","12","4","2","","","","","","",""
"4","12","5","1","","","","","","",""
"5","12","4","2","","","","","","",""
"6","12","7","2","","","","","","",""
"7","12","4","1","","","","","","",""
"8","12","4","2","","","","","","",""
"9","12","3","1","","","","","","",""
"10","12","4","1","","","","","1","",""
"11","12","3","1","","","","","","",""
"12","12","4","2","","","","","","",""
"13","12","3","1","","","","","","",""
"14","12","4","1","","","","","","",""
"15","12","5","1","","","","","","",""
"1","13","4","1","","","","","","",""
"2","13","3","0","","","","","1","",""
"3","13","4","1","","","","","","",""
"4","13","4","1","","","","","","",""
"5","13","7","1","","","","","1","",""
"6","13","4","1","","","","","1","",""
"7","13","3","1","","","","","","",""
"8","13","3","1","","","","","","",""
"9","13","3","1","","","","","","",""
"10","13","5","1","","","","","","",""
"11","13","5","2","","","","","","",""
"12","13","5","1","","","","","1","",""
"13","13","5","2","","","","","","",""
"14","13","5","3","","","","","","",""
"15","13","5","1","","","","","1","",""
"1","14","5","1","","","","","","",""
"2","14","8","1","","","","","","",""
"3","14","4","1","","","","","","","1"
"4","14","5","3","","","","","","",""
"5","14","3","1","","","","","","",""
"6","14","3","1","","","","","","",""
"7","14","4","2","","","","","","",""
"8","14","6","1","","","","","","",""
"9","14","5","1","","","","","","",""
"10","14","4","2","","","","","","",""
