"settlements","nb_cluster"
"hagarsugarsesala","1"
"bulaadukutulo","2"
"elwaktownb","RC"
"iresukitown","RC"
"dawdertown","3"
"bnguvuag","4"
"fincharotowna","5"
"qarariharo","6"
"eleleorgaywargadud","7"
"midina","8"
"dibandib","9"
"dusebima","10"
"dandu","11"
"dudubleeast","12"
"lagsure","13"
"bullahargesaarhamutown","RC"
"bullampyarhamutown","14"
"bullaladenirhamu","15"
"barakarhamu","16"
"barwaqorhamu","17"
"hawararhamu","18"
"galbeedrhamudimtu","19"
"madokalicha","20"
"ashabitotown","21"
"sowlesukela","22"
"gutichagutichatown","23"
"sarmanolla","24"
"bhabrirowsarohindi","25"
"cerealboardcentrecentralmdrtown","26"
"btaqwabullampya","27"
"bshantaabaqshashafey","28"
"bsocietypower","29"
"jamhurieast","30"
"gedudiye","31"
"zoneabanisa","32"
"zonebbanisa","33"
"mataarba","34"
"bullaidpslulis","35"
"ardatambo","RC"
"bulladanaguba","36"
"bullasafaricommalkamari","37"
"bullatankhullow","38"
"bullaburkieymole","39"
"bullaharabeymole","RC"
"bullaqorobirkan","40"
"kawanja","41"
"ambaay","42"
"bbiri","43"
"btawakal","44"
"finocentre","45"
