"old_name","new_name","time_smart_process","admin_level_survey","admin_name_survey","type_survey","min_year_survey","min_month_survey","min_day_survey","max_month_survey","max_year_survey","max_day_survey","is_issue","type_of_issue","access_nutrition","access_mortality","access_clusters","recall_days","inj_code","viol_code","unk_code"
"GARISSA_JUL_2022_SMART_SURVEY.as","ken_admin0_unspecified_13_7_0","mer. juin 26 12:16:15 2024","admin0","NA","aggregate","2020","7","13","7","2020","19","FALSE","",TRUE,TRUE,TRUE,"95",NA,NA,0
"KEN_06_2023_SAMBURU.as","ken_admin0_unspecified_19_6_0","mer. juin 26 12:16:16 2024","admin0","NA","individual","2020","6","19","6","2020","24","FALSE","",TRUE,TRUE,FALSE,"92",NA,NA,0
"KEN_GARISSA SMART RESULTS_07_2023.as","ken_admin0_unspecified_NA_NA_0","mer. juin 26 12:16:16 2024","admin0","NA","individual",NA,NA,NA,NA,NA,NA,"TRUE","Unknown Date",TRUE,TRUE,TRUE,"97",NA,NA,0
"Ken_Mandera_Moh_07_2023-3.as","ken_admin0_unspecified_14_7_0","mer. juin 26 12:16:16 2024","admin0","NA","individual","2020","7","14","7","2020","19","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"KEN_MANDERA_SMART July 2022.as","ken_admin0_unspecified_11_7_0","mer. juin 26 12:16:16 2024","admin0","NA","individual","2020","7","11","7","2020","16","FALSE","",TRUE,TRUE,TRUE,"103",NA,NA,0
"Ken_Wajir_MOH_06_2023.as","ken_admin0_unspecified_24_6_0","mer. juin 26 12:16:17 2024","admin0","NA","individual","2020","6","24","6","2020","30","FALSE","",TRUE,TRUE,TRUE,"97",NA,NA,0
"Ken_Wajir_SMART_Survey_July 2022.as","ken_admin0_unspecified_28_6_0","mer. juin 26 12:16:17 2024","admin0","NA","individual","2020","6","28","7","2020","5","FALSE","",TRUE,TRUE,FALSE,"93",NA,NA,0
"Laisamis Anthro_Mortality July 2023.as","ken_admin0_unspecified_10_7_0","mer. juin 26 12:16:18 2024","admin0","NA","individual","2020","7","10","7","2020","15","FALSE","",TRUE,TRUE,TRUE,"103",NA,NA,0
"Marsabit County SMART Survey_202307_Anthro_Mortality.as","ken_admin0_unspecified_10_7_1","mer. juin 26 12:16:18 2024","admin0","NA","individual","2020","7","10","8","2020","17","FALSE","",TRUE,TRUE,FALSE,"104",NA,NA,0
"Marsabit_2022_07_MoH_Partners_Mbt_All Sub-counties.as","ken_admin0_unspecified_NA_NA_1","mer. juin 26 12:16:19 2024","admin0","NA","individual",NA,NA,NA,NA,NA,NA,"TRUE","Unknown Date",TRUE,TRUE,FALSE,"93",NA,NA,0
"Marsabit_2022_07_MoH_Partners_Mbt_Laisamis Sub-county.as","ken_admin0_unspecified_2_7_0","mer. juin 26 12:16:19 2024","admin0","NA","individual","2020","7","2","7","2020","8","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"Marsabit_2022_07_MoH_Partners_Mbt_Moyale Sub-county.as","ken_admin0_unspecified_NA_NA_1","mer. juin 26 12:16:20 2024","admin0","NA","individual",NA,NA,NA,NA,NA,NA,"TRUE","Unknown Date",TRUE,TRUE,TRUE,"93",NA,NA,0
"Marsabit_2022_07_MoH_Partners_Mbt_NorthHorr Sub-county.as","ken_admin0_unspecified_NA_NA_1","mer. juin 26 12:16:20 2024","admin0","NA","individual",NA,NA,NA,NA,NA,NA,"TRUE","Unknown Date",TRUE,TRUE,TRUE,"93",NA,NA,0
"Marsabit_2022_07_MoH_Partners_Mbt_Saku Sub-county.as","ken_admin0_unspecified_NA_NA_1","mer. juin 26 12:16:20 2024","admin0","NA","individual",NA,NA,NA,NA,NA,NA,"TRUE","Unknown Date",TRUE,TRUE,TRUE,"93",NA,NA,0
"Moyale Anthro_Mortality July 2023.as","ken_admin0_unspecified_10_7_1","mer. juin 26 12:16:20 2024","admin0","NA","individual","2020","7","10","7","2020","15","FALSE","",TRUE,TRUE,TRUE,"94",NA,NA,0
"noname.as","ken_admin0_unspecified_19_6_1","mer. juin 26 12:16:21 2024","admin0","NA","individual","2020","6","19","6","2020","24","FALSE","",TRUE,TRUE,FALSE,"92",NA,NA,0
"NorthHorr  Anthro Mortality July 2023.as","ken_admin0_unspecified_10_7_1","mer. juin 26 12:16:21 2024","admin0","NA","individual","2020","7","10","8","2020","17","FALSE","",TRUE,TRUE,TRUE,"103",NA,NA,0
"Saku Anthro Mortality July 2023.as","ken_admin0_unspecified_10_7_1","mer. juin 26 12:16:21 2024","admin0","NA","individual","2020","7","10","7","2020","15","FALSE","",TRUE,TRUE,TRUE,"94",NA,NA,0
"Samburu_Mortality SMART July 2022.as","ken_admin0_unspecified_21_3_0","mer. juin 26 12:16:22 2024","admin0","NA","individual","2020","3","21","3","2020","21","FALSE","",TRUE,TRUE,FALSE,"109",NA,NA,0
"TurkanaCentral Weighted.as","ken_admin0_unspecified_25_6_0","mer. juin 26 12:16:22 2024","admin0","NA","individual","2020","6","25","7","2020","1","FALSE","",TRUE,TRUE,FALSE,"93",NA,NA,0
"TurkanaCentral_Mortality SMART July 2022.as","ken_admin0_unspecified_21_3_1","mer. juin 26 12:16:22 2024","admin0","NA","aggregate","2020","3","21","3","2020","21","FALSE","",TRUE,TRUE,FALSE,"87",NA,NA,0
"TurkanaCentral_Mortality_06.2017.as","ken_admin0_unspecified_26_6_0","mer. juin 26 12:16:22 2024","admin0","NA","aggregate","2020","6","26","6","2020","26","FALSE","",TRUE,TRUE,FALSE,"120",NA,NA,0
"TurkanaCentral_SMART June 2023 Mortality2.as","ken_admin0_unspecified_25_6_1","mer. juin 26 12:16:22 2024","admin0","NA","individual","2020","6","25","7","2020","1","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"TurkanaNorth_Mortality SMART July 2022.as","ken_admin0_unspecified_21_3_1","mer. juin 26 12:16:22 2024","admin0","NA","aggregate","2020","3","21","3","2020","21","FALSE","",TRUE,TRUE,FALSE,"87",NA,NA,0
"TurkanaNorth_Mortality_06.2017.as","ken_admin0_unspecified_17_6_0","mer. juin 26 12:16:22 2024","admin0","NA","aggregate","2020","6","17","6","2020","17","FALSE","",TRUE,TRUE,FALSE,"120",NA,NA,0
"TurkanaNorth_SMART June 2023_ANTHRO_MORTALITY.as","ken_admin0_unspecified_24_6_1","mer. juin 26 12:16:23 2024","admin0","NA","individual","2020","6","24","7","2020","1","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"TurkanaSouth_Mortality SMART July 2022.as","ken_admin0_unspecified_21_3_1","mer. juin 26 12:16:23 2024","admin0","NA","aggregate","2020","3","21","3","2020","21","FALSE","",TRUE,TRUE,FALSE,"93",NA,NA,0
"TurkanaSouth_Mortality_06.2017.as","ken_admin0_unspecified_26_6_1","mer. juin 26 12:16:23 2024","admin0","NA","aggregate","2020","6","26","6","2020","26","FALSE","",TRUE,TRUE,FALSE,"120",NA,NA,0
"TurkanaSouth_SMART June 2023_ANTHRO_MORTALITY.as","ken_admin0_unspecified_25_6_1","mer. juin 26 12:16:23 2024","admin0","NA","individual","2020","6","25","7","2020","1","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"TurkanaWest_Mortality SMART July 2022.as","ken_admin0_unspecified_21_3_1","mer. juin 26 12:16:23 2024","admin0","NA","aggregate","2020","3","21","3","2020","21","FALSE","",TRUE,TRUE,FALSE,"87",NA,NA,0
"TurkanaWest_Mortality_06.2017.as","ken_admin0_unspecified_26_6_1","mer. juin 26 12:16:23 2024","admin0","NA","aggregate","2020","6","26","6","2020","26","FALSE","",TRUE,TRUE,FALSE,"120",NA,NA,0
"TurkanaWest_SMART June 2023_ANTHRO_MORTALITY.as","ken_admin0_unspecified_25_6_1","mer. juin 26 12:16:23 2024","admin0","NA","individual","2020","6","25","7","2020","1","FALSE","",TRUE,TRUE,TRUE,"93",NA,NA,0
"WPC_MOH_SMART_July 2022.as","ken_admin0_unspecified_11_4_0","mer. juin 26 12:16:24 2024","admin0","NA","individual","2020","4","11","4","2020","11","FALSE","",TRUE,TRUE,FALSE,"93",NA,NA,0
