"settlements","nb_cluster"
"alraxmo","1"
"barwaaqo","2"
"bilan","3"
"bulsho","4"
"ceynta","5"
"doomeey","6,7"
"duugane","8"
"fatxi","9"
"gurmadiyogargar","10"
"jiinwabi","11"
"kulan","RC"
"macruuf","12"
"midnimo","13"
"nagarweyne","14"
"nasri","15"
"nuuriyoowtawakal","RC"
"rajo","16"
"shuubo","17"
"wabishabele","18"
"xaliye","19"
"doofil","20"
"guudlawe","21"
"wadajirkooshin","22"
"heegan","23"
"heegan","RC"
"hilaal","24"
"wodajir","25"
"horseed","RC"
"doonsubagle","26"
"iftin","27"
"siinay","28"
"siinay","29"
"wadajir","30"
"radar","31"
"siigalow","32"
