"settlements","nb_cluster"
"adckulanyare","1"
"aliyowkeerow","2"
"aminrobow","3"
"badbaado","4"
"banaadir","RC"
"barwaqo","5"
"bodaan","6"
"busley","7"
"buulausley","8"
"buurgaduud","9"
"dakanadiid","10"
"dhuriyoqalin","RC"
"dugsiilo","11"
"elbet","12"
"ganugaay","13"
"goosate","14"
"hanano","15"
"idaale","16"
"jakaton","17"
"keerowmargan","18"
"kurmaan","19"
"madhato","20"
"minfuray","21"
"nasiibwanag","22"
"raaxoole","23"
"salameyidaale","24"
"sinan","25"
"tawakaldiinsoor","RC"
"towhiid","26"
"walaq","27"
"yaaqbarawey","28"
"madawarabe","29"
"buurhakaba","30"
"dayniile","31"
"tugaarhoos","RC"
"harqanidp","32"
"buulishiid","33"
"lowileyaliyowrooble","34"
"gareerfuurweyn","35"
"duugsoy","36"
