"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","23","6","1","0","0","1","0","0","0","0"
"2","23","6","2","0","0","0","0","0","0","0"
"3","23","5","1","0","0","0","0","0","1","0"
"4","23","5","1","0","0","0","0","0","0","0"
"5","23","6","3","0","0","0","0","0","0","0"
"6","23","5","1","1","0","0","0","0","0","0"
"7","23","5","1","0","0","0","0","0","0","0"
"8","23","4","0","0","0","0","0","0","0","0"
"9","23","3","1","0","0","0","0","0","0","0"
"10","23","5","2","0","0","0","0","0","0","0"
"11","23","6","1","0","0","0","0","0","0","0"
"12","23","6","1","2","0","0","0","0","0","0"
"13","23","6","1","0","0","0","0","0","0","0"
"14","23","5","1","0","0","0","0","0","0","0"
"15","23","5","1","0","0","0","0","0","0","0"
"16","23","6","1","0","0","1","0","0","0","0"
"17","23","4","1","0","0","0","0","0","0","0"
"18","23","5","2","0","0","0","0","0","0","0"
"19","23","4","2","0","0","0","0","0","0","0"
"20","23","5","0","0","0","0","0","0","0","0"
"21","23","5","1","0","0","0","0","0","0","0"
"22","23","6","1","0","0","0","0","0","0","0"
"23","23","5","2","0","0","0","0","0","0","0"
"24","23","6","0","0","0","0","0","0","0","0"
"25","23","5","2","0","0","0","0","0","0","0"
"26","23","5","1","1","0","1","0","0","0","0"
"1","2","9","2","0","0","0","0","0","0","0"
"2","2","7","2","0","0","0","0","0","0","0"
"3","2","6","1","0","0","0","0","0","0","0"
"4","2","7","3","0","0","0","0","0","0","0"
"5","2","4","0","0","0","0","0","0","0","0"
"6","2","5","2","0","0","0","0","0","0","0"
"7","2","5","1","0","0","0","0","0","0","0"
"8","2","6","2","0","0","0","0","0","0","0"
"9","2","4","1","0","0","0","0","0","0","0"
"10","2","4","0","0","0","0","0","0","0","0"
"11","2","5","1","0","0","1","0","0","0","0"
"12","2","4","1","0","0","0","0","0","0","0"
"13","2","8","2","0","0","0","0","0","0","0"
"14","2","4","1","0","0","0","0","1","0","0"
"15","2","7","2","0","0","0","0","0","0","0"
"16","2","4","1","0","0","0","0","0","0","0"
"17","2","5","1","1","0","0","0","0","0","0"
"18","2","4","0","0","0","0","0","0","0","0"
"19","2","7","3","0","0","1","0","0","0","0"
"20","2","5","1","0","0","0","0","0","0","0"
"21","2","5","0","0","0","0","0","0","0","0"
"22","2","7","1","0","0","0","0","0","0","0"
"23","2","4","1","0","0","0","0","0","0","0"
"24","2","6","1","3","1","0","0","0","0","0"
"25","2","6","2","0","0","0","0","1","0","0"
"26","2","5","1","0","0","0","0","0","0","0"
"1","1","8","2","0","0","0","0","0","0","0"
"2","1","7+","1","1","0","0","0","0","0","0"
"3","1","7","3","2","1","0","0","0","0","0"
"4","1","5","0","0","0","0","0","0","0","0"
"5","1","6","2","0","0","0","0","0","0","0"
"6","1","6","2","0","0","0","0","0","0","0"
"7","1","5","2","1","0","0","0","0","0","0"
"8","1","6","1","0","0","0","0","0","0","0"
"9","1","7","2","0","0","0","0","0","0","0"
"10","1","5","0","0","0","0","0","0","0","0"
"11","1","8","2","0","0","0","0","1","0","0"
"12","1","6","2","0","0","1","0","0","0","0"
"13","1","7","1","0","0","0","0","0","0","0"
"14","1","5","1","0","0","0","0","0","0","0"
"15","1","4","2","1","0","0","0","0","0","0"
"16","1","5","1","0","0","0","0","0","0","0"
"17","1","5","2","0","0","0","0","0","0","0"
"18","1","6","2","0","0","0","0","0","0","0"
"19","1","5","2","0","0","0","0","0","0","0"
"20","1","6","1","0","0","0","0","1","0","0"
"21","1","5","2","0","0","0","0","0","0","0"
"22","1","6","1","0","0","0","0","0","0","0"
"23","1","6","2","0","0","0","0","0","0","0"
"24","1","5","1","0","0","0","0","0","0","0"
"25","1","6","1","0","0","1","0","0","0","0"
"26","1","9","2","0","0","0","0","0","0","0"
"1","3","6","2","0","0","0","0","0","0","0"
"2","3","4","1","0","0","0","0","0","0","0"
"3","3","5","1","1","0","0","0","0","0","0"
"4","3","7","1","0","0","0","0","0","0","0"
"5","3","10","1","2","0","0","0","0","0","0"
"6","3","4","1","0","0","0","0","0","0","0"
"7","3","5","2","0","0","0","0","0","0","0"
"8","3","6","1","0","0","0","0","0","0","0"
"9","3","4","0","0","0","0","0","0","0","0"
"10","3","5","1","0","0","0","0","0","0","0"
"11","3","5","2","0","0","0","0","0","0","0"
"12","3","6","2","0","0","0","0","0","0","0"
"13","3","4","0","0","0","0","0","0","0","0"
"14","3","5","1","0","0","0","0","0","0","0"
"15","3","6","2","0","0","0","0","1","0","0"
"16","3","4","1","0","0","0","0","1","0","0"
"17","3","5","1","0","0","0","0","0","0","0"
"18","3","5","1","0","0","0","0","0","0","0"
"19","3","5","1","1","0","0","0","0","0","0"
"20","3","6","1","0","0","1","0","0","0","0"
"21","3","4","0","0","0","0","0","0","0","0"
"22","3","8","2","0","0","0","0","0","0","0"
"23","3","10","2","0","0","0","0","0","0","0"
"24","3","9","2","0","0","0","0","0","0","0"
"25","3","5","1","0","0","0","0","0","0","0"
"26","3","8","1","0","0","0","0","0","0","0"
"1","4","7","1","0","0","0","0","0","0","0"
"2","4","5","1","0","0","0","0","0","0","0"
"3","4","5","2","0","0","0","0","0","0","0"
"4","4","6","1","0","0","0","0","0","0","0"
"5","4","9","1","0","0","0","0","0","0","0"
"6","4","6","1","0","0","0","0","0","0","0"
"7","4","4","0","0","0","0","0","0","0","0"
"8","4","5","2","0","0","0","0","0","0","0"
"9","4","6","1","0","0","0","0","0","0","0"
"10","4","6","3","0","0","0","0","0","0","0"
"11","4","4","0","0","0","0","0","0","0","0"
"12","4","7","2","0","0","0","0","0","0","0"
"13","4","4","2","0","0","0","0","0","0","0"
"14","4","6","2","1","0","0","0","0","0","0"
"15","4","4","2","0","0","0","0","0","0","0"
"16","4","4","0","0","0","0","0","0","0","0"
"17","4","4","2","0","0","1","0","0","0","0"
"18","4","5","2","0","0","0","0","1","0","0"
"19","4","5","2","0","0","0","0","0","0","0"
"20","4","11","2","2","0","0","0","0","0","0"
"21","4","4","0","0","0","0","0","0","0","0"
"22","4","5","1","0","0","0","0","0","0","0"
"23","4","7","2","0","0","0","0","0","0","0"
"24","4","5","1","0","0","0","0","0","0","0"
"25","4","5","1","0","0","0","0","0","0","0"
"26","4","6","2","0","0","0","0","0","0","0"
"1","6","5","2","0","0","0","0","0","0","0"
"2","6","6","2","1","0","0","0","0","0","0"
"3","6","4","1","0","0","0","0","0","0","0"
"4","6","4","2","0","0","0","0","0","0","0"
