"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","54","2","1","0","0","0","0","1","0","0"
"2","54","4","2","0","0","0","0","0","0","0"
"3","54","5","2","0","0","0","0","0","0","0"
"4","54","5","1","0","0","0","0","0","0","0"
"5","54","3","2","0","0","0","0","1","0","0"
"6","54","8","1","0","0","0","0","0","0","0"
"7","54","10","4","0","0","1","0","0","0","0"
"8","54","3","0","0","0","0","0","0","0","0"
"9","54","6","3","0","0","0","0","0","0","0"
"11","54","5","3","0","0","0","0","0","0","0"
"10","54","4","2","0","0","0","0","0","0","0"
"12","54","2","0","0","0","0","0","0","0","0"
"13","54","3","1","0","0","0","0","0","0","0"
"14","54","6","2","0","0","0","0","0","0","0"
"15","54","3","1","0","0","0","0","0","0","0"
"16","54","4","3","0","0","0","0","0","0","0"
"17","54","5","0","0","0","0","0","0","0","0"
"18","54","2","0","0","0","0","0","0","0","0"
"19","54","4","2","0","0","0","0","0","0","0"
"1","51","4","1","0","0","0","0","0","0","0"
"2","51","7","3","0","0","0","0","1","0","0"
"3","51","4","0","0","0","0","0","0","0","0"
"4","51","5","3","0","0","","0","0","0","0"
"5","51","3","0","0","0","0","0","0","0","0"
"7","51","6","0","0","0","0","0","0","0","0"
"9","51","8","4","0","0","0","0","0","0","0"
"6","51","2","1","0","0","","0","0","0","0"
"10","51","4","2","0","0","0","0","1","0","0"
"11","51","7","1","0","0","0","0","0","0","0"
"12","51","2","0","0","0","0","0","0","0","0"
"14","51","9","2","0","0","0","0","0","0","0"
"13","51","3","1","0","0","0","0","0","0","0"
"15","51","7","2","0","0","0","0","0","0","0"
"16","51","8","2","0","0","0","0","0","0","0"
"17","51","8","3","0","0","0","0","0","0","0"
"18","51","5","1","0","0","0","0","0","0","0"
"19","51","3","1","0","0","0","0","0","0","0"
"19","30","4","2","0","0","0","0","1","0","0"
"18","30","7","2","0","0","0","0","0","0","0"
"17","30","4","2","0","0","0","0","0","0","0"
"16","30","7","1","0","0","0","0","0","0","0"
"15","30","5","2","0","0","0","0","0","0","0"
"14","30","9","2","0","0","0","0","0","0","0"
"13","30","5","2","0","0","0","0","1","0","0"
"12","30","7","3","0","0","0","0","0","0","0"
"11","30","3","0","0","0","0","0","0","0","0"
"10","30","7","2","0","0","0","0","0","0","0"
"9","30","3","1","0","0","0","0","0","0","0"
"7","30","5","0","0","0","0","0","0","0","0"
"8","30","4","0","0","0","0","0","0","0","0"
"5","30","1","1","0","0","1","0","0","0","0"
"4","30","5","2","0","0","0","0","1","0","0"
"3","30","4","1","0","0","1","0","0","0","0"
"1","30","7","1","0","0","0","0","0","0","0"
"2","30","8","1","0","0","0","0","0","0","0"
"18","29","4","0","0","0","0","0","0","0","0"
"19","29","4","0","0","0","0","0","0","0","0"
"17","29","10","3","0","0","0","0","0","0","0"
"15","29","2","0","0","0","0","0","0","0","0"
"16","29","6","30","0","0","1","1","1","0","0"
"14","29","5","3","0","0","0","0","0","0","0"
"13","29","6","3","0","0","0","0","0","0","0"
"12","29","7","3","0","0","0","0","0","0","0"
"9","29","6","2","0","0","0","0","0","0","0"
"10","29","2","0","0","0","0","0","0","0","0"
"11","29","5","2","0","0","0","0","0","0","0"
"7","29","3","0","0","0","0","0","0","0","0"
"8","29","4","2","0","0","0","0","0","0","0"
"6","29","8","2","0","0","0","0","0","0","0"
"4","29","3","1","0","0","0","0","0","0","0"
"5","29","4","2","0","0","0","0","0","0","0"
"3","29","8","2","0","0","0","0","0","0","0"
"2","29","4","2","0","0","0","0","0","0","0"
"1","29","8","2","0","0","0","0","0","0","0"
"16","31","8","1","0","0","0","0","0","0","0"
"17","31","5","0","0","0","0","0","0","0","0"
"18","31","3","1","0","0","0","0","0","0","0"
"19","31","2","1","0","0","1","0","0","0","0"
"15","31","4","2","0","0","0","0","0","0","0"
"13","31","4","0","0","0","0","0","0","0","0"
"14","31","8","0","0","0","0","0","0","0","0"
"12","31","4","2","0","0","0","0","0","0","0"
"11","31","5","3","0","0","0","0","0","0","0"
"10","31","3","1","0","0","0","0","0","0","0"
"9","31","2","0","0","0","0","0","0","0","0"
"8","31","4","1","0","0","0","0","1","0","0"
"7","31","3","1","0","0","0","0","0","0","0"
"6","31","7","2","0","0","0","0","0","0","0"
"5","31","5","20","0","0","0","0","0","0","0"
"4","31","8","3","0","0","0","0","0","0","0"
"3","31","2","1","0","0","0","0","0","0","0"
"2","31","8","3","0","0","0","0","0","0","0"
"1","31","5","2","0","0","0","0","0","0","0"
"1","40","5","1","0","0","0","0","0","0","0"
"7","40","4","1","0","0","0","0","0","0","0"
"10","40","4","1","0","0","0","0","0","0","0"
"8","40","5","0","0","0","0","0","0","0","0"
"9","40","5","1","0","0","0","0","0","0","0"
"1","39","7","2","0","0","0","0","0","0","0"
"2","39","6","2","0","0","0","0","0","0","0"
"3","39","4","1","0","0","0","0","0","0","0"
"4","39","4","1","0","0","0","0","0","0","0"
"5","39","4","2","0","0","0","0","0","0","0"
"6","39","7","1","0","0","0","","0","0","0"
"7","39","7","1","0","0","1","0","0","0","0"
"9","39","7","1","0","0","0","0","0","0","0"
"10","39","4","2","0","0","0","0","0","0","0"
"11","39","6","0","0","0","0","0","0","0","0"
"13","39","5","0","0","0","0","0","0","0","0"
"17","39","4","1","0","0","0","0","0","0","0"
"15","39","6","0","0","0","0","0","0","0","0"
"16","39","5","0","0","0","0","0","0","0","0"
"2","37","10","2","0","0","0","0","0","0","0"
"1","37","8","2","0","0","0","0","0","0","0"
"3","37","5","0","0","0","0","0","0","0","0"
"4","37","6","4","0","0","0","0","0","0","0"
"5","37","5","2","0","0","0","0","0","0","0"
"6","37","8","2","0","0","0","0","0","0","0"
"7","37","10","0","0","0","0","0","0","0","0"
"8","37","6","1","0","0","0","0","0","0","0"
"9","37","6","1","0","0","0","0","0","0","0"
"10","37","6","2","0","0","0","0","0","0","0"
"11","37","7","2","0","0","1","0","0","0","0"
"12","37","3","1","0","0","0","0","0","0","0"
"13","37","4","0","0","0","0","0","0","0","0"
"14","37","8","1","0","0","0","0","0","0","0"
"15","37","7","0","0","0","0","0","0","0","0"
"16","37","3","2","0","0","0","0","0","0","0"
"17","37","5","2","0","0","0","0","0","0","0"
"18","37","8","1","0","0","0","0","0","0","0"
"19","37","6","0","0","0","0","0","0","0","0"
"2","41","6","0","0","0","0","0","0","0","0"
"1","41","5","3","0","0","0","0","1","0","0"
"3","41","10","2","0","0","0","0","0","0","0"
"4","41","6","0","0","0","0","0","0","0","0"
"5","41","5","1","0","0","0","0","0","0","0"
"6","41","10","2","0","0","0","0","0","0","0"
"8","41","3","1","0","0","0","0","0","0","0"
"7","41","5","2","0","0","0","0","0","0","0"
"9","41","4","2","0","0","0","0","0","0","0"
"10","41","7","0","0","0","0","0","0","0","0"
"11","41","8","2","0","0","0","0","0","0","0"
"12","41","2","0","0","0","0","0","0","0","0"
"13","41","5","1","0","0","0","0","0","0","0"
"14","41","5","4","0","0","0","0","0","0","0"
"15","41","4","0","0","0","0","0","0","0","0"
"16","41","6","3","0","0","0","0","0","0","0"
"17","41","7","1","0","0","0","0","0","0","0"
"18","41","5","2","0","0","0","0","0","0","0"
"11","33","7","3","0","0","0","0","0","0","0"
"17","33","6","2","0","0","0","0","0","0","0"
"14","33","8","3","0","0","0","0","0","0","0"
"18","33","7","1","0","0","2","0","0","0","0"
"2","33","7","2","0","0","2","0","0","0","0"
"19","33","5","2","0","0","0","0","0","0","0"
"13","33","4","2","0","0","0","0","0","0","0"
"16","33","6","2","0","0","0","0","0","0","0"
"8","33","6","2","0","0","0","0","0","0","0"
"3","33","8","2","0","0","0","0","0","0","0"
"5","33","7","2","0","0","0","0","0","0","0"
"6","33","9","3","0","0","0","0","0","0","0"
"9","33","7","2","0","0","0","0","0","0","0"
"18","49","5","2","0","0","0","0","0","0","0"
"4","49","5","2","0","0","0","0","0","0","0"
"2","49","5","1","0","0","0","0","0","0","0"
"1","49","9","3","0","0","0","0","0","1","0"
"16","49","6","2","0","0","0","0","0","0","0"
"6","49","7","2","0","0","0","0","0","0","0"
"8","49","6","1","0","0","0","0","0","0","0"
"9","49","4","1","0","0","0","0","1","1","1"
"14","49","4","2","0","0","0","0","0","0","0"
"11","49","6","3","0","0","0","0","0","0","0"
"12","49","3","1","0","0","0","0","0","0","0"
"17","49","7","2","0","0","0","0","0","0","0"
"14","49","4","0","0","0","1","0","0","0","0"
"7","49","4","0","0","0","0","0","0","0","0"
"15","49","7","1","0","0","0","0","0","0","0"
"18","49","3","0","0","0","0","0","0","0","0"
"19","49","9","0","0","0","0","0","0","0","0"
"13","38","2","0","0","0","0","0","0","0","0"
"14","38","4","0","0","0","0","0","0","0","0"
"15","38","6","1","0","0","1","0","0","0","0"
"23","38","9","1","0","0","0","0","0","0","0"
"24","38","9","0","0","0","0","0","0","0","0"
"3","38","8","2","0","0","0","0","0","0","0"
"5","38","5","1","0","0","0","0","0","0","0"
"20","38","2","0","0","0","0","0","0","0","0"
"21","38","2","0","0","0","0","0","0","0","0"
"19","38","6","3","0","0","0","0","0","0","0"
"21","38","12","1","0","0","0","0","0","0","0"
"9","38","8","0","0","0","0","0","0","0","0"
"10","38","7","1","0","0","0","0","0","0","0"
"22","38","7","2","0","0","0","0","0","0","0"
"12","38","6","0","0","0","0","0","0","0","0"
"17","35","6","3","0","0","0","0","0","0","0"
"13","35","5","3","0","0","0","0","0","0","0"
"3","35","4","2","0","0","0","0","0","0","0"
"6","35","5","3","0","0","0","0","0","0","0"
"1","35","6","1","0","0","0","0","0","0","0"
"2","35","6","2","0","0","0","0","0","0","0"
"4","35","5","2","0","0","0","0","0","0","0"
"5","35","6","2","0","0","0","0","0","0","0"
"7","35","3","1","0","0","0","0","0","0","0"
"8","35","5","2","0","0","0","0","0","0","0"
"9","35","5","2","0","0","0","0","0","0","0"
"10","35","6","2","0","0","0","0","0","0","0"
"16","36","8","2","0","0","0","0","0","0","0"
"19","36","6","1","0","0","0","0","0","0","0"
"15","36","6","1","0","0","0","0","0","0","0"
"13","36","6","3","0","0","0","0","0","0","0"
"8","36","5","1","0","0","0","0","0","0","0"
"9","36","7","2","0","0","0","0","0","0","0"
"11","36","6","3","0","0","0","0","0","0","0"
"6","36","6","2","0","0","0","0","0","0","0"
"5","36","7","2","0","0","0","0","0","0","0"
"17","36","7","3","0","0","0","0","0","0","0"
"2","36","3","1","0","0","0","0","0","0","0"
"1","36","6","2","0","0","0","0","0","0","0"
"7","36","4","0","0","0","0","0","0","0","0"
"3","36","3","0","0","0","0","0","0","0","0"
"12","36","3","0","0","0","0","0","0","0","0"
"18","36","6","0","0","0","0","0","0","0","0"
"18","32","5","2","0","0","1","0","0","0","0"
"19","32","6","1","0","0","0","0","0","0","0"
"16","32","6","2","0","0","0","0","0","0","0"
"9","32","6","2","0","0","0","0","0","0","0"
"6","32","7","3","0","0","0","0","0","0","0"
"11","32","7","0","0","0","0","0","0","0","0"
"12","32","7","2","0","0","0","0","0","0","0"
"15","32","8","2","0","0","0","0","0","0","0"
"3","32","3","1","0","0","0","0","0","0","0"
"1","32","5","2","0","0","0","0","0","0","0"
"7","32","5","2","0","0","0","0","0","0","0"
"2","32","3","1","0","0","0","0","0","0","0"
"17","43","4","1","0","0","0","0","0","0","0"
"18","43","3","1","0","0","0","0","0","0","0"
"19","43","8","2","0","0","0","0","0","0","0"
"16","43","8","0","0","0","0","0","0","0","0"
"14","43","5","1","0","0","0","0","0","0","0"
"15","43","3","1","0","0","0","0","0","0","0"
"12","43","4","1","0","0","0","0","0","0","0"
"13","43","6","3","0","0","1","0","1","0","0"
"10","43","5","2","1","0","0","0","0","0","0"
"11","43","4","1","0","0","1","0","0","0","0"
"9","43","3","1","0","0","0","0","0","0","0"
"7","43","7","0","0","0","0","0","0","0","0"
"8","43","3","0","0","0","1","0","0","0","0"
"5","43","5","2","0","0","0","0","0","0","0"
"6","43","7","2","0","0","0","0","0","0","0"
"4","43","7","0","0","0","0","0","0","0","0"
"3","43","5","1","0","0","0","0","0","0","0"
"2","43","6","1","0","0","0","0","0","0","0"
"1","43","3","2","0","0","1","0","0","0","0"
"19","47","7","1","0","0","0","0","0","0","0"
"16","47","3","0","0","0","0","0","0","0","0"
"17","47","5","1","0","0","1","0","0","0","0"
"18","47","5","2","0","0","0","0","0","0","0"
"15","47","8","1","0","0","0","0","0","0","0"
"14","47","7","3","0","0","1","0","0","0","0"
"13","47","9","0","0","0","0","0","0","0","0"
"12","47","6","2","0","0","0","0","0","0","0"
"11","47","6","0","0","0","0","0","0","0","0"
"10","47","3","0","0","","0","0","0","0","0"
"9","47","5","3","0","0","1","0","0","0","0"
"8","47","4","0","0","0","0","0","0","0","0"
"7","47","6","1","0","0","0","0","0","1","0"
"6","47","3","1","0","0","1","0","1","0","0"
"5","47","5","0","0","0","0","0","0","0","0"
"4","47","4","1","0","0","0","0","0","0","0"
"2","47","9","2","0","0","0","0","1","0","0"
"3","47","5","2","0","0","0","0","0","0","0"
"1","47","2","0","0","0","0","0","0","0","0"
"19","48","6","1","0","0","0","0","1","0","0"
"16","48","3","1","0","0","0","0","0","0","0"
"18","48","6","2","0","0","0","0","0","0","0"
"15","48","5","2","0","0","1","0","0","0","0"
"14","48","4","0","0","0","0","0","0","0","0"
"13","48","7","1","0","0","2","0","0","0","0"
"12","48","8","2","0","0","0","0","0","0","0"
"11","48","9","2","0","0","0","0","0","0","0"
"10","48","7","1","0","0","0","0","0","0","0"
"8","48","8","1","0","0","0","0","0","1","0"
"9","48","3","1","0","0","0","0","1","0","0"
"7","48","11","1","0","0","0","0","0","0","0"
"6","48","7","2","0","0","0","0","0","0","0"
"5","48","4","2","0","0","0","0","0","0","0"
"4","48","11","0","0","0","0","0","0","0","0"
"1","48","6","1","0","0","1","0","0","0","0"
"2","48","3","1","0","0","1","0","0","0","0"
"3","48","7","2","0","0","0","0","1","0","0"
"17","48","4","1","1","0","0","0","1","0","0"
"18","46","2","1","0","0","1","0","0","0","0"
"19","46","8","2","0","0","0","0","0","0","0"
"17","46","5","3","0","0","0","0","0","0","0"
"16","46","5","2","0","0","0","0","0","0","0"
"15","46","6","0","0","0","0","0","0","0","0"
"14","46","8","1","0","0","2","0","0","0","0"
"13","46","7","3","0","0","0","0","0","0","0"
"12","46","2","0","0","0","1","0","0","0","0"
"11","46","5","2","0","0","0","0","0","0","0"
"10","46","5","2","0","0","0","0","0","0","0"
"9","46","3","1","0","0","1","0","1","0","0"
"8","46","2","1","0","0","1","0","0","0","0"
"7","46","7","1","0","0","1","0","0","0","0"
"6","46","6","2","0","0","0","0","0","0","0"
"5","46","3","0","0","0","1","0","0","0","0"
"4","46","6","2","0","0","0","0","0","0","0"
"3","46","8","3","0","0","0","0","0","0","0"
"2","46","5","1","0","0","0","0","0","0","0"
"1","46","7","2","0","0","1","0","0","0","0"
"18","42","4","2","0","0","0","0","0","0","0"
"19","42","2","0","0","0","0","0","0","0","0"
"17","42","9","1","0","0","0","0","0","0","0"
"16","42","4","0","0","0","0","0","0","0","0"
"15","42","11","3","0","0","0","0","0","0","0"
"14","42","6","0","0","0","2","0","0","0","0"
"13","42","8","2","0","0","0","0","0","0","0"
"12","42","3","0","0","0","0","0","0","0","0"
"11","42","7","2","0","0","1","0","0","0","0"
"10","42","10","2","0","0","1","0","0","0","0"
"9","42","7","1","0","0","1","0","0","0","0"
"8","42","3","1","0","0","0","0","0","0","0"
"7","42","4","2","0","0","0","0","0","0","0"
"6","42","5","2","0","0","0","0","0","0","0"
"5","42","11","2","0","0","0","0","0","0","0"
"4","42","3","1","0","0","0","0","0","0","0"
"3","42","6","2","0","0","0","0","0","0","0"
"2","42","5","2","0","","0","0","0","0","0"
"1","42","6","1","0","0","0","0","0","0","0"
"19","35","3","1","0","0","1","0","0","0","0"
"18","35","6","2","0","0","1","0","0","0","0"
"17","35","4","0","0","0","0","0","0","0","0"
"16","35","6","1","0","0","0","0","0","0","0"
"15","35","9","4","0","0","0","0","0","0","0"
"14","35","4","1","0","0","1","0","0","0","0"
"13","35","6","1","0","0","0","0","0","0","0"
"12","35","8","1","0","0","0","0","0","0","0"
"11","35","4","3","0","0","1","0","1","0","0"
"10","35","7","3","0","0","0","0","0","0","0"
"9","35","6","3","0","0","0","0","0","0","0"
"8","35","9","2","4","0","2","0","0","0","0"
"7","35","4","1","0","0","0","0","0","0","0"
"6","35","7","1","0","0","0","0","0","0","0"
"5","35","4","2","0","0","0","0","0","0","0"
"4","35","7","2","1","0","3","0","0","0","0"
"3","35","4","2","0","0","0","0","0","0","0"
"1","35","7","0","0","0","1","0","0","0","0"
"2","35","3","1","0","0","0","0","1","0","0"
"1","53","11","3","0","0","0","0","1","0","0"
"2","53","7","3","0","0","0","0","0","0","0"
"3","53","7","0","0","0","0","0","0","0","0"
"4","53","6","3","0","0","1","0","0","0","0"
"5","53","6","2","0","0","0","0","0","0","0"
"6","53","5","3","0","0","0","0","0","0","0"
"7","53","2","0","0","0","0","0","0","0","0"
"8","53","8","1","0","0","0","0","0","0","0"
"9","53","3","0","0","0","0","0","0","0","0"
"10","53","6","2","0","0","1","0","1","0","0"
"11","53","4","1","0","0","1","0","0","0","0"
"12","53","6","2","0","0","0","0","0","0","0"
"16","53","2","1","0","0","1","0","0","0","0"
"14","53","7","1","0","0","1","0","0","0","0"
"13","53","3","1","0","0","0","0","0","0","0"
"15","53","5","2","0","0","0","0","0","0","0"
"17","53","9","4","0","0","0","0","0","0","0"
"18","53","3","0","0","0","0","0","0","0","0"
"19","53","7","3","0","0","0","0","0","0","0"
"1","45","4","2","0","0","1","0","1","0","0"
"2","45","3","1","0","0","0","0","0","0","0"
"3","45","5","3","0","0","0","0","0","0","0"
"5","45","6","1","0","0","0","0","0","0","0"
"4","45","3","2","0","0","0","0","0","0","0"
"6","45","3","1","0","0","0","0","0","0","0"
"7","45","4","0","1","0","1","0","0","0","0"
"10","45","4","1","0","0","0","0","0","0","0"
"9","45","5","0","0","0","0","0","0","0","0"
"8","45","9","2","0","0","0","0","0","0","0"
"11","45","4","1","0","0","0","0","0","0","0"
"12","45","3","1","0","0","0","0","1","0","0"
"14","45","5","2","0","0","0","0","0","0","0"
"13","45","4","1","0","0","0","0","0","0","0"
"15","45","9","0","0","0","2","0","0","1","1"
"17","45","4","2","0","0","0","0","0","0","0"
"18","45","6","2","0","0","0","0","0","0","0"
"19","45","4","0","0","0","1","0","0","0","0"
"1","50","7","2","0","0","0","0","0","0","0"
"2","50","8","3","0","0","0","0","0","0","0"
"3","50","3","1","0","0","0","0","0","0","0"
"4","50","5","1","0","0","0","0","1","0","0"
"5","50","3","1","0","0","0","0","0","0","0"
"6","50","9","3","0","0","0","0","0","0","0"
