"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","17","14","2","","","","","","0","0"
"2","17","3","0","","","","","","0","0"
"3","17","13","3","","","","","","0","0"
"4","17","8","3","","","","","","0","0"
"5","17","4","2","","","","","","0","0"
"6","17","7","2","","","","","","0","0"
"7","17","3","1","","","","","","0","0"
"8","17","10","3","","","","","","0","0"
"9","17","4","2","","","","","","0","0"
"10","17","8","3","","","","","","0","0"
"11","17","6","1","","","","","","0","0"
"12","17","5","2","","","","","","0","0"
"13","17","8","3","","","","","","0","0"
"14","17","11","2","","","","","","0","0"
"15","17","5","2","","","","","","0","0"
"16","17","6","0","","","","","","1","1"
"17","17","3","1","","","","","","0","0"
"18","17","7","3","","","","","","0","0"
"19","16","7","1","","","","","","0","0"
"20","16","11","3","","","","","","0","0"
"21","16","9","2","","","","","","0","0"
"22","16","6","2","","","","","","0","0"
"23","16","9","3","","","","","","0","0"
"24","16","4","2","","","","","","0","0"
"25","16","3","1","","","","","","0","0"
"26","16","7","3","","","","","","0","0"
"27","16","2","0","","","","","","0","0"
"28","16","4","2","","","","","","0","0"
"29","16","9","3","","","","","","0","0"
"30","16","3","0","","","","","","0","0"
"31","16","8","3","","","","","","0","0"
"32","16","13","2","","","","","","0","0"
"33","16","6","2","","","","","","0","0"
"34","16","8","3","","","","","","0","0"
"35","16","6","2","","","","","","0","0"
"36","16","5","1","","","","","","0","0"
"37","15","8","2","","","","","","0","0"
"38","15","4","2","","","","","","0","0"
"39","15","2","0","","","","","","0","0"
"40","15","3","0","","","","","","0","0"
"41","15","7","2","","","","","","0","0"
"42","15","2","0","","","","","","0","0"
"43","15","9","3","","","","","","0","0"
"44","15","14","3","","","","","","0","0"
"45","15","2","0","","","","","","0","0"
"46","15","7","2","","","","","","0","0"
"47","15","6","3","","","","","","0","0"
"48","15","3","0","","","","","","0","0"
"49","15","8","2","","","","","","0","0"
"50","15","4","1","","","","","","0","0"
"51","15","6","2","","","","","","0","0"
"52","15","2","0","","","","","","0","0"
"53","15","12","2","","","","","","0","0"
"54","15","8","3","","","","","","0","0"
"55","15","3","0","","","","","","0","0"
"56","15","5","3","","","","","","1","0"
"57","14","4","3","","","","","","0","0"
"58","14","5","1","","","","","","0","0"
"59","14","8","2","","","","","","0","0"
"60","14","6","3","","","","","","0","0"
"61","14","5","1","","","","","","0","0"
"62","14","3","1","","","","","","0","0"
"63","14","5","2","","","","","","0","0"
"64","14","10","3","","","","","","0","0"
"65","14","4","1","","","","","","0","0"
"66","14","8","3","","","","","","0","0"
"67","14","6","0","","","","","","0","0"
"68","14","5","2","","","","","","0","0"
"69","14","8","3","","","","","","0","0"
"70","14","2","0","","","","","","0","0"
"71","14","4","2","","","","","","0","0"
"72","14","8","0","","","","","","0","0"
"73","14","6","1","","","","","","0","0"
"74","14","7","3","","","","","","0","0"
"75","14","4","1","","","","","","0","0"
"76","13","4","2","","","","","","0","0"
"77","13","3","0","","","","","","0","0"
"78","13","8","2","","","","","","0","0"
