"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"19","1","10","0","0","0","0","0","0","0","0"
"18","1","8","1","0","0","0","0","0","0","0"
"13","1","2","1","0","0","0","0","0","0","0"
"16","1","8","1","0","0","0","0","0","0","0"
"15","1","5","2","0","0","0","0","0","0","0"
"14","1","6","2","0","0","0","0","0","0","0"
"13","1","4","1","0","0","0","0","0","0","0"
"12","1","2","1","0","0","0","0","0","0","0"
"1","1","6","2","0","0","0","0","0","0","0"
"10","1","8","2","0","0","0","0","0","0","0"
"9","1","4","3","0","0","0","0","0","0","0"
"8","1","8","2","0","0","0","0","0","0","0"
"7","1","4","1","0","0","0","0","0","0","0"
"6","1","7","4","0","0","0","0","0","0","0"
"5","1","7","3","0","0","0","0","0","0","0"
"4","1","8","1","0","0","1","0","0","0","0"
"3","1","6","3","0","0","0","0","0","0","0"
"2","1","6","2","0","0","0","0","0","0","0"
"1","1","6","3","0","0","1","0","0","0","0"
"18","5","3","0","0","0","0","0","0","0","0"
"19","5","6","0","2","0","0","0","0","0","0"
"17","5","5","1","0","0","0","0","0","0","0"
"16","5","5","2","0","0","0","0","1","0","0"
"15","5","4","1","0","0","0","0","0","0","0"
"14","5","8","1","0","0","0","0","0","0","0"
"13","5","3","1","0","0","0","0","0","0","0"
"12","5","5","3","0","0","0","0","1","0","0"
"11","5","5","3","0","0","0","0","0","0","0"
"10","5","4","1","0","0","0","0","0","0","0"
"9","5","2","1","0","0","0","0","0","0","0"
"8","5","3","1","0","0","0","0","0","0","0"
"7","5","2","1","0","0","0","0","0","0","0"
"6","5","4","2","0","0","0","0","0","0","0"
"5","5","5","1","0","0","0","0","0","0","0"
"4","5","7","3","0","0","0","0","1","0","0"
"3","5","2","1","0","0","1","0","0","0","0"
"2","5","5","2","0","0","0","0","0","0","0"
"1","5","3","1","0","0","0","0","0","0","0"
"3","7","1","0","0","0","0","0","0","0","0"
"19","7","8","3","0","0","0","0","0","0","0"
"18","7","2","0","0","0","0","0","0","0","0"
"17","7","6","2","0","0","0","0","0","0","0"
"16","7","5","2","1","0","0","0","0","0","0"
"15","7","4","2","0","0","0","0","0","0","0"
"14","7","4","2","0","0","0","0","0","0","0"
"12","7","6","2","0","0","0","0","0","0","0"
"12","7","5","2","0","0","0","0","1","0","0"
"11","7","5","3","0","0","0","0","0","0","0"
"10","7","5","2","0","0","0","0","0","0","0"
"9","7","3","1","0","0","0","0","0","0","0"
"8","7","8","1","0","0","0","0","0","0","0"
"7","7","8","2","0","0","0","0","0","0","0"
"6","7","3","1","0","0","0","0","0","0","0"
"5","7","6","1","0","0","0","0","0","0","0"
"4","7","5","3","1","0","0","0","0","0","0"
"2","7","4","2","0","0","0","0","0","0","0"
"1","7","7","1","0","0","0","0","0","0","0"
