"settlements","nb_cluster"
"ceeldibir","1"
"cilaamo","2"
"dagaar","3"
"dayaxa","RC"
"dubad","RC"
"geedlarifay","4"
"gudmoafaafsatellite","5"
"hadaaftimo","6,7"
"illad","8"
"kalmac","9"
"laako","10"
"laasxuluys","11"
"laasasurad","12"
"madarmugle","13"
"midhishi","14"
"mushxaleed","15"
"raqassatellite","16"
"rukuuda","17"
"ulxeed","18"
"xamaas","19"
"xiis","20"
"yufle","21"
"ufeyn","22"
"baargaal","23"
"balidhidin","24"
"beelwacatay","25"
"ceellaas","26"
"dibir","RC"
"gondoli","RC"
"karin","27"
"muudiye","28,29"
"tager","30"
"unuun","31"
"ximistiyo","32"
