"settlements","nb_cluster"
"ceeldofar","1"
"barookhle","2"
"duudhoyo","3"
"rako","4"
"sheerbi","5"
"xiriiro","6"
"yaka","7"
"balley","8"
"xamur","9"
"rabaable","10"
"celbuh","RC"
"qarxis","11"
"qorilehe","12"
"naylaqadhqadhis","13"
"ceellaqoday","14"
"boholcas","15"
"yube","16"
"naylagad","17"
"garadag","18"
"tuurshiidceellamaan","19"
"madere","20"
"dararaweyne","21"
"hingalool","22"
"habariheshey","23"
"oog","24"
"dhanaano","25"
"ceelal","26"
"waridaad","27"
"wagarulasan","RC"
"duloararaf","28"
"balicabdiburaale","29"
"taleh","30"
"garbaqabad","31"
"yagoori","32"
"dalyare","RC"
"falaydhyeele","33"
"bocame","34"
"sarmaanyo","35"
"awrbogays","RC"
